Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/admin/users,200,1,4,5.361024449975957,1.7275869995501125,15.993528000763035,1.99,3.6668410679530883,0.01833420533976544,4,5,7,8,11,12,14,15,16,16,16
POST,/api/v1/auth/login,64,0,5,5.730202015541863,2.047591000518878,12.483327998779714,155.0,1.1733891417449882,0.0,5,7,8,9,10,11,12,12,12,12,12
GET,/api/v1/health,448,0,3,4.478378029018261,1.3094020014250418,16.89504299974942,131.32142857142858,8.213723992214918,0.0,3,5,6,7,9,10,12,13,17,17,17
GET,/api/v1/listings,156,0,4,4.545854326876836,1.6837479997775517,11.132618001283845,2.0,2.860136033003409,0.0,4,5,6,7,9,10,10,11,11,11,11
GET,/api/v1/listings/[id],64,0,4,4.198392781177063,1.3488889999280218,12.330130999544053,467.875,1.1733891417449882,0.0,4,5,5,6,7,9,10,12,12,12,12
GET,/api/v1/listings/search,164,164,3,4.270790890287327,1.0902570011239732,16.229789000135497,224.0,3.0068096757215326,3.0068096757215326,3,4,5,6,8,11,12,15,16,16,16
,Aggregated,1096,165,4,4.674736583015777,1.0902570011239732,16.89504299974942,124.21715328467154,20.094289052382926,3.025143881061298,4,5,6,7,9,11,12,13,16,17,17
