Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/admin/users,117,117,7,8.246587025651879,2.108257000145386,61.23873599972285,27.0,0.6803003788039346,0.6803003788039346,7,10,11,12,14,17,20,21,61,61,61
POST,/api/v1/auth/login,53,53,6,7.498176754693905,2.624637001645169,20.162753000477096,153.0,0.3081702570650302,0.3081702570650302,6,9,9,10,15,17,18,20,20,20,20
GET,/api/v1/health,282,0,5,6.303391234156049,2.3791559997334844,20.743749999383,103.0,1.6396983489120474,0.0,5,7,8,9,11,14,16,19,21,21,21
GET,/api/v1/listings,100,100,5,6.794559619975189,2.7400969993323088,26.601552999636624,27.0,0.5814533152170381,0.5814533152170381,5,7,9,10,13,14,20,27,27,27,27
GET,/api/v1/listings/[id],46,46,5,7.162624000003511,2.776858998913667,26.684588001444354,27.0,0.26746852499983753,0.26746852499983753,5,8,9,10,11,18,27,27,27,27,27
GET,/api/v1/listings/search,110,110,5,6.630720781735859,2.6715860003605485,17.566365000675432,27.0,0.6395986467387419,0.6395986467387419,5,6,9,11,14,16,16,17,18,18,18
,Aggregated,708,426,5,6.890008940707172,2.108257000145386,61.23873599972285,66.70338983050847,4.116689471736629,2.4769911228245824,5,7,9,10,13,15,18,20,61,61,61
